iter	Passed	Remaining
470	764	858
471	766	857
472	767	855
473	769	853
474	771	852
475	773	851
476	774	849
477	776	848
478	778	846
479	780	845
480	782	843
481	783	842
482	785	840
483	787	839
484	788	837
485	790	836
486	792	834
487	794	833
488	796	832
489	797	830
490	799	828
491	801	827
492	802	825
493	804	824
494	806	822
495	808	821
496	810	819
497	811	818
498	813	816
499	815	815
500	816	813
501	818	811
502	820	810
503	821	808
504	823	807
505	825	805
506	826	803
507	828	802
508	830	800
509	831	799
510	833	797
511	835	795
512	837	794
513	839	793
514	840	791
515	842	790
516	844	788
517	846	787
518	847	785
519	849	784
520	851	782
521	852	781
522	854	779
523	856	777
524	857	776
525	859	774
526	861	773
527	863	771
528	864	769
529	866	768
530	868	766
531	869	765
532	871	763
533	873	761
534	874	760
535	876	758
536	878	757
537	879	755
538	881	754
539	883	752
540	885	750
541	886	749
542	888	747
543	890	746
544	891	744
545	893	743
546	895	741
547	896	739
548	898	738
549	900	736
550	901	734
551	903	733
552	905	731
553	906	730
554	908	728
555	909	726
556	911	725
557	913	723
558	915	721
559	916	720
560	918	718
561	920	717
562	921	715
563	923	713
564	925	712
565	926	710
566	928	709
567	930	707
568	932	705
569	933	704
570	935	702
571	936	701
572	938	699
573	940	697
574	942	696
575	943	694
576	945	693
577	947	691
578	949	690
579	950	688
580	952	686
581	954	685
582	955	683
583	957	681
584	959	680
585	960	678
586	962	677
587	964	675
588	965	673
589	967	672
590	968	670
591	970	668
592	972	667
593	973	665
594	975	664
595	977	662
596	979	660
597	980	659
598	982	657
599	983	655
600	985	654
601	987	652
602	988	651
603	990	649
604	992	648
605	994	646
606	995	644
607	997	643
608	999	641
609	1000	639
610	1002	638
611	1003	636
612	1005	634
613	1006	633
614	1008	631
615	1010	629
616	1011	628
617	1012	626
618	1014	624
619	1016	622
620	1018	621
621	1019	619
622	1021	618
623	1023	616
624	1025	615
625	1026	613
626	1028	611
627	1029	610
628	1031	608
629	1033	606
630	1034	605
631	1036	603
632	1038	602
633	1040	600
634	1041	598
635	1043	597
636	1045	595
637	1047	594
638	1048	592
639	1050	591
640	1052	589
641	1054	587
642	1055	586
643	1057	584
644	1059	583
645	1061	581
646	1062	579
647	1064	578
648	1066	576
649	1068	575
650	1070	573
651	1072	572
652	1074	570
653	1075	569
654	1077	567
655	1078	565
656	1080	564
